State,City,City Population,FacebookPlaceId,Lon,Lat,Is300MilesFromCC
TX,Lone Star,1507,,,,
TX,Pleak,1505,,,,
TX,Baird,1504,,,,
TX,Seadrift,1500,,,,
TX,La Pryor,1499,,,,
TX,Seven Points,1497,,,,
TX,Runaway Bay,1492,,,,
TX,Fort Hancock,1491,,,,
TX,Redland,1489,,,,
TX,Bells,1488,,,,
TX,Edgewood and Oak Leaf,1486,,,,
TX,Quinlan and Westlake,1483,,,,
TX,Preston,1481,,,,
TX,Meridian,1480,,,,
TX,Gunter,1467,,,,
TX,Alvord,1462,,,,
TX,Woodsboro,1459,,,,
TX,Rotan,1458,,,,
TX,Copper Canyon,1457,,,,
TX,Queen City,1453,,,,
TX,Canyon Creek,1445,,,,
TX,Serenada,1443,,,,
TX,Wolfe City,1442,,,,
TX,Bertram and Flatonia,1441,,,,
TX,Somerville,1436,,,,
TX,Aurora,1434,,,,
TX,New Fairview,1431,,,,
TX,Grapeland,1426,,,,
TX,Ivanhoe and Sheldon,1417,,,,
TX,Sundown,1414,,,,
TX,Boyd,1411,,,,
TX,Westwood Shores,1405,,,,
TX,Buchanan Dam,1404,,,,
TX,La Vernia,1401,,,,
TX,Rancho Alegre,1394,,,,
TX,Lakeside town,1391,,,,
TX,Hubbard,1390,,,,
TX,Menard,1389,,,,
TX,Tatum,1386,,,,
TX,Hico,1385,,,,
TX,Big Sandy,1384,,,,
TX,Moody,1381,,,,
TX,Iowa Colony,1380,,,,
TX,Rosebud and Old River-Winfree,1376,,,,
TX,Woodbranch,1367,,,,
TX,Tornillo,1359,,,,
TX,Batesville,1347,,,,
TX,Siesta Shores,1346,,,,
TX,Elkhart,1329,,,,
TX,Cut and Shoot,1328,,,,
TX,Naples,1326,,,,
TX,Farwell,1318,,,,
TX,Orange Grove,1313,,,,
TX,Hilltop Lakes,1312,,,,
TX,China Grove,1311,,,,
TX,Blessing,1306,,,,
TX,Hawkins,1305,,,,
TX,Cross Roads,1302,,,,
